,csd
0,electronics.smartphone
1,computers.notebook
2,appliances.kitchen.refrigerators
3,electronics.audio.headphone
4,electronics.video.tv
5,appliances.environment.vacuum
6,appliances.kitchen.washer
7,computers.peripherals.mouse
8,appliances.kitchen.kettle
9,appliances.environment.air_conditioner
10,appliances.kitchen.blender
11,appliances.kitchen.microwave
12,furniture.kitchen.table
13,appliances.kitchen.hood
14,appliances.iron
15,electronics.tablet
16,electronics.clocks
17,appliances.personal.scales
18,computers.network.router
19,computers.components.hdd
20,appliances.environment.fan
21,computers.peripherals.keyboard
22,appliances.kitchen.meat_grinder
23,appliances.kitchen.oven
